Test_data,Method_name,Method_name_simple,BlockSize,Sub_BlockSize,SAMEMAlign_Version,Vaild_tests,Q_view,TC_view,SPview,Time_view,Q,TC,SP,Time,Maxmemory,Q_raw,TC_raw,Time_raw,Memory_raw
RNA-255,abpoa_highsim-900,abpoa_highsim,900,100,0.10.0.0,10,0.982¡À0.003464101615137758,0.6969000000000001¡À0.0338096140173176,,0.9279999999999999¡À0.06615134163416492,0.982,0.6969000000000001,,0.9279999999999999,90288,"[0.981, 0.983, 0.98, 0.975, 0.978, 0.988, 0.984, 0.984, 0.984, 0.983]","[0.725, 0.727, 0.688, 0.687, 0.674, 0.752, 0.64, 0.7, 0.652, 0.724]","[0.84, 0.84, 0.93, 0.9, 0.86, 0.99, 0.99, 0.94, 1.05, 0.94]","[36616, 66276, 44312, 44064, 32836, 70488, 48044, 41952, 90288, 74564]"
RNA-255,abpoa-900,abpoa,900,100,0.10.0.0,10,0.937¡À0.010158740079360198,0.5898¡À0.057672870571872877,,2.862¡À0.4419230702282921,0.937,0.5898,,2.862,113976,"[0.949, 0.943, 0.945, 0.923, 0.936, 0.953, 0.934, 0.931, 0.92, 0.936]","[0.644, 0.642, 0.599, 0.567, 0.611, 0.658, 0.561, 0.58, 0.445, 0.591]","[2.49, 2.15, 3.4699999999999998, 2.56, 2.34, 2.94, 2.81, 3.17, 3.39, 3.3]","[83548, 80692, 99332, 97328, 88416, 84196, 98832, 96380, 113976, 94884]"
RNA-255,fftns1-10,fftns1,10,100,0.10.0.0,10,0.9843999999999999¡À0.0025377155080899064,0.7069¡À0.030582511342268786,,66.67¡À1.5358710883404258,0.9843999999999999,0.7069,,66.67,156840,"[0.985, 0.984, 0.986, 0.983, 0.982, 0.99, 0.984, 0.98, 0.986, 0.984]","[0.724, 0.684, 0.685, 0.742, 0.679, 0.767, 0.661, 0.721, 0.696, 0.71]","[64.94, 63.41, 66.72, 66.76, 65.88, 66.61, 68.73, 67.96, 68.42, 67.27]","[90840, 81304, 96124, 88140, 76200, 82012, 78040, 73244, 156840, 89484]"
RNA-255,fftns1_highsim-100,fftns1_highsim,100,100,0.10.0.0,10,0.9826¡À0.002870540018881467,0.7283999999999999¡À0.03180943256331367,,8.245999999999999¡À0.6642921044239499,0.9826,0.7283999999999999,,8.245999999999999,57568,"[0.983, 0.977, 0.983, 0.984, 0.982, 0.986, 0.987, 0.984, 0.981, 0.979]","[0.764, 0.725, 0.715, 0.764, 0.716, 0.772, 0.721, 0.716, 0.657, 0.734]","[8.15, 9.18, 8.4, 8.45, 9.32, 7.52, 8.74, 7.5600000000000005, 7.85, 7.29]","[27876, 32240, 31456, 29744, 33724, 57568, 31768, 33316, 32400, 35276]"
RNA-255,fftns1-100,fftns1,100,100,0.10.0.0,10,0.9917999999999999¡À0.001536229149573723,0.7577¡À0.024388726904043208,,97.584¡À3.5727390053011128,0.9917999999999999,0.7577,,97.584,254740,"[0.99, 0.993, 0.992, 0.989, 0.99, 0.994, 0.993, 0.993, 0.992, 0.992]","[0.78, 0.742, 0.757, 0.788, 0.739, 0.79, 0.729, 0.766, 0.715, 0.771]","[103.16, 99.49, 89.9, 97.06, 100.0, 96.17, 95.92, 101.81, 96.91, 95.42]","[128128, 121020, 213368, 228048, 145020, 164300, 199924, 241200, 254740, 147436]"
RNA-255,fftns1_highsim-1000,fftns1_highsim,1000,100,0.10.0.0,10,0.9907¡À0.002865309756378883,0.8038000000000001¡À0.022148589119851375,,3.526¡À0.6609266222509123,0.9907,0.8038000000000001,,3.526,328364,"[0.985, 0.993, 0.992, 0.986, 0.989, 0.992, 0.993, 0.991, 0.993, 0.993]","[0.842, 0.829, 0.799, 0.793, 0.792, 0.825, 0.779, 0.815, 0.768, 0.796]","[3.01, 2.51, 3.63, 4.07, 2.99, 3.37, 3.84, 3.52, 5.04, 3.2800000000000002]","[165440, 184068, 306160, 203576, 118872, 238592, 176652, 272140, 328364, 264044]"
RNA-255,fftns1-1000,fftns1,1000,100,0.10.0.0,10,0.9925¡À0.0015652475842498543,0.7868¡À0.017548789132017052,,13.888¡À1.3297353120076187,0.9925,0.7868,,13.888,317092,"[0.989, 0.994, 0.992, 0.991, 0.992, 0.994, 0.994, 0.992, 0.993, 0.994]","[0.818, 0.784, 0.793, 0.799, 0.804, 0.794, 0.771, 0.781, 0.757, 0.767]","[13.96, 11.17, 14.99, 13.83, 13.3, 13.0, 13.07, 14.59, 16.4, 14.57]","[192384, 171936, 269136, 294540, 243036, 214792, 268612, 309012, 317092, 217904]"
RNA-255,fftns1_highsim-1100,fftns1_highsim,1100,100,0.10.0.0,10,0.9906¡À0.0029732137494637035,0.8049¡À0.022061051652176488,,3.6630000000000003¡À0.6495236716240603,0.9906,0.8049,,3.6630000000000003,335120,"[0.984, 0.993, 0.99, 0.986, 0.992, 0.992, 0.993, 0.991, 0.992, 0.993]","[0.84, 0.829, 0.798, 0.793, 0.809, 0.825, 0.779, 0.815, 0.765, 0.796]","[3.62, 2.88, 4.01, 4.78, 3.07, 3.36, 3.69, 3.31, 4.82, 3.09]","[177904, 162684, 308024, 203936, 206388, 226436, 177084, 272912, 335120, 252016]"
RNA-255,fftns1-1100,fftns1,1100,100,0.10.0.0,10,0.9923¡À0.0016763054614240224,0.7783¡À0.02518749689826286,,11.676¡À1.616732507250349,0.9923,0.7783,,11.676,312764,"[0.989, 0.995, 0.992, 0.992, 0.993, 0.993, 0.994, 0.992, 0.993, 0.99]","[0.805, 0.786, 0.795, 0.803, 0.788, 0.794, 0.767, 0.777, 0.746, 0.722]","[10.57, 9.22, 11.48, 12.06, 9.97, 12.55, 10.57, 13.54, 14.88, 11.92]","[174192, 183840, 307772, 305372, 240880, 221676, 276404, 302948, 312764, 204272]"
RNA-255,fftns1_highsim-1200,fftns1_highsim,1200,100,0.10.0.0,10,0.991¡À0.002720294101747091,0.8083¡À0.020828106010869037,,3.618¡À0.5454869384320764,0.991,0.8083,,3.618,327828,"[0.984, 0.993, 0.99, 0.989, 0.992, 0.992, 0.994, 0.991, 0.992, 0.993]","[0.84, 0.829, 0.798, 0.817, 0.809, 0.825, 0.789, 0.815, 0.765, 0.796]","[3.54, 2.94, 3.7800000000000002, 3.9699999999999998, 3.23, 3.51, 4.14, 3.31, 4.8, 2.96]","[178140, 144560, 310148, 320424, 240756, 242560, 306972, 248056, 327828, 262896]"
